Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015
"Canada and Newfoundland 15,16,17",2297.00,11875.00,34285.00,64171.00,117975.00,323974.00,492508.00,2668.00,123067.00,708715.00,949286.00,162703.00,160911.00,353169.00,433128.00,179267.00,156313.00,194788.00,236349.00,19491.00,19506.00,20138.00,20489.00,17670.00,19309.00
"Mexico 16,17",3835.00,7187.00,3069.00,3446.00,1957.00,5133.00,2405.00,734.00,31188.00,185334.00,498945.00,32709.00,56158.00,273847.00,441824.00,621218.00,1009586.00,2757418.00,1704166.00,138717.00,142823.00,145326.00,134198.00,133107.00,157227.00
Caribbean,3061.00,11792.00,11803.00,12447.00,8809.00,14592.00,27600.00,31885.00,100960.00,120860.00,83482.00,18052.00,46285.00,115869.00,427843.00,708643.00,789343.00,1004114.00,1053357.00,139389.00,133012.00,126615.00,121349.00,133550.00,146086.00
Cuba ,-,-,-,-,3420.00,8705.00,20134.00,23669.00,-,-,12769.00,10641.00,25976.00,73221.00,202030.00,256497.00,132552.00,159037.00,271742.00,33372.00,36261.00,32551.00,31343.00,46505.00,54178.00
Dominican Republic ,-,-,-,-,-,-,-,-,-,-,-,1165.00,4802.00,10219.00,83552.00,139249.00,221552.00,359818.00,291492.00,53890.00,46036.00,41535.00,41487.00,44550.00,50382.00
Haiti ,-,-,-,-,78.00,149.00,124.00,101.00,-,-,-,207.00,823.00,3787.00,28992.00,55166.00,121406.00,177446.00,203827.00,22336.00,21802.00,22446.00,20083.00,15107.00,16787.00
Jamaica 18,-,-,-,-,61.00,257.00,355.00,223.00,-,-,-,-,-,7397.00,62218.00,130226.00,193874.00,177143.00,172523.00,19439.00,19298.00,20300.00,19052.00,18804.00,17362.00
Other Caribbean 18,3061.00,11792.00,11803.00,12447.00,5250.00,5481.00,6987.00,7892.00,100960.00,120860.00,70713.00,6039.00,14684.00,21245.00,51051.00,127505.00,119959.00,130670.00,113773.00,10352.00,9615.00,9783.00,9384.00,8584.00,7377.00
Central America,57.00,94.00,297.00,512.00,70.00,202.00,359.00,674.00,7341.00,15692.00,16511.00,6840.00,20135.00,40201.00,98569.00,120376.00,339376.00,610189.00,591130.00,43597.00,43249.00,39837.00,44056.00,43638.00,46556.00
Belize ,-,-,-,-,9.00,26.00,80.00,25.00,583.00,40.00,285.00,193.00,433.00,1133.00,4185.00,6747.00,14964.00,12600.00,9682.00,997.00,933.00,875.00,969.00,823.00,804.00
Costa Rica ,-,-,-,-,2.00,4.00,1.00,4.00,-,-,-,580.00,1965.00,4044.00,17975.00,12405.00,25017.00,17054.00,21571.00,2306.00,2230.00,2152.00,2232.00,2018.00,2121.00
El Salvador ,-,-,-,-,-,3.00,-,7.00,-,-,-,712.00,4885.00,5094.00,14405.00,29428.00,137418.00,273017.00,251237.00,18547.00,18477.00,15874.00,18015.00,18964.00,18699.00
Guatemala ,-,-,-,-,1.00,10.00,3.00,9.00,-,-,-,632.00,1303.00,4197.00,14357.00,23837.00,58847.00,126043.00,156992.00,10263.00,10795.00,9857.00,9829.00,9871.00,11466.00
Honduras ,-,-,-,-,-,11.00,4.00,4.00,-,-,-,809.00,1874.00,5320.00,15087.00,15653.00,39071.00,72880.00,63513.00,6381.00,6053.00,6773.00,8795.00,8025.00,9071.00
Nicaragua ,-,-,-,-,-,1.00,1.00,3.00,-,-,-,564.00,4393.00,7812.00,10383.00,10911.00,31102.00,80446.00,70015.00,3476.00,3314.00,2943.00,2940.00,2773.00,3262.00
Panama 19,-,-,-,-,-,-,-,-,-,-,-,1774.00,5282.00,12601.00,22177.00,21395.00,32957.00,28149.00,18120.00,1627.00,1447.00,1363.00,1276.00,1164.00,1133.00
Other Central America ,57.00,94.00,297.00,512.00,58.00,147.00,270.00,622.00,6758.00,15652.00,16226.00,1576.00,-,-,-, - , - , - , - , - ,-, - , - , - ,-
South America,405.00,957.00,1062.00,3569.00,1536.00,1109.00,1954.00,1389.00,15253.00,39938.00,43025.00,9990.00,19662.00,78418.00,250754.00,273529.00,399803.00,570596.00,856508.00,85783.00,84687.00,77748.00,79287.00,72135.00,70049.00
Argentina ,-,-,-,-,7.00,58.00,64.00,36.00,-,-,-,1397.00,3108.00,16346.00,49384.00,30303.00,23442.00,30065.00,47955.00,4312.00,4335.00,4218.00,4227.00,3757.00,3542.00
Bolivia ,-,-,-,-,-,5.00,-,-,-,-,-,77.00,893.00,2759.00,6205.00,5635.00,9798.00,18111.00,21921.00,2211.00,2113.00,1920.00,2005.00,1663.00,1549.00
Brazil ,-,-,-,-,32.00,219.00,199.00,92.00,-,-,4627.00,1468.00,3653.00,11547.00,29238.00,18600.00,22944.00,50744.00,115404.00,12057.00,11643.00,11248.00,10772.00,10246.00,11247.00
Chile ,-,-,-,-,25.00,92.00,44.00,66.00,-,-,-,568.00,1320.00,4669.00,12384.00,15032.00,19749.00,18200.00,19792.00,1940.00,1854.00,1628.00,1751.00,1591.00,1620.00
Colombia ,-,-,-,-,2.00,196.00,1210.00,607.00,-,-,-,1278.00,3454.00,15567.00,68371.00,71265.00,105494.00,137985.00,236570.00,21861.00,22130.00,20272.00,20611.00,17614.00,16509.00
